tract,tree,grassShrub,bare,water,buildings,roads,otherPaved,totalPixels,percentImp
101,657430.4942,1184040.156,0,0,2376374.654,1110995.768,1145128.94,6473970.012,0.715557742
102,350210.9473,749344.1087,6084.782861,0,1174872.99,668380.3039,932782.4155,3881675.548,0.715164283
103,347749.4397,568725.2379,3580.283836,0,969358.0993,550394.9045,587908.4007,3027716.366,0.696122473
104,876985.5766,977049.5608,0,0,1314127.135,746002.7771,1178224.32,5092389.369,0.63592039
105,795229.9302,1742864.375,20299.9394,0,1476633.629,1197531.458,1846950.554,7079509.886,0.638619864
106,349513.0869,594420.0981,0,0,814279.1197,499041.1768,600142.9534,2857396.435,0.669652704
107,565580.8669,1001449.68,0,0,1451401.676,1017331.503,920717.8288,4956481.555,0.683842151
108,861125.749,1489170.121,3595.280836,0,1299967.967,1323390.282,1326934.573,6304183.974,0.626614458
109,291656.6599,476227.7402,0,0,759939.9892,487412.5029,655869.8064,2671106.699,0.712522004
110,667511.4777,1103548.257,0,0,1295227.916,1054535.061,969121.1467,5089943.859,0.652047295
111,1124415.083,3846785.527,6229.753862,14497.10015,2900444.824,1921488.645,4193877.099,14007738.03,0.643630724
112,591094.7633,983957.179,0,0,2038571.225,899440.085,903010.3708,5416073.623,0.70918934
113,342680.4536,612316.5183,0,0,1242428.477,552828.4177,854547.0649,3604800.932,0.735076363
114,1866710.602,2326248.68,7245.550672,0,2652262.468,1714393.07,1905178.907,10472039.28,0.598912426
157,211400.7135,759238.1296,19171.16519,0,1695413.866,939962.9792,1597434.465,5222621.319,0.810476397
158,525715.8411,830775.8199,9159.167892,0,2236869.559,1021137.742,1621232.705,6244890.834,0.781317101
160,345760.8375,768969.1831,13737.25214,0,2642444.432,1601277.696,2386930.542,7759119.943,0.854562466
161,458397.3068,1257277.507,0,0,2465148.896,1479567.042,1955830.775,7616221.527,0.774734124
162,344136.1624,990229.9243,5354.928854,0,989906.9889,699026.1738,899879.997,3928534.175,0.658976871
163,349287.1321,1000738.822,0,0,1610872.777,1198672.23,1999293.081,6158864.042,0.78079952
164,518728.2388,993225.3251,0,0,1506153.724,937348.5022,1265448.872,5220904.662,0.710403912
165,559654.0524,884385.0964,5599.879856,0,1172820.401,781336.7092,844918.9909,4248715.129,0.658805313
166,268996.1927,498717.2416,0,0,682563.4668,611439.6937,748881.2013,2810597.796,0.726850482
168,742904.3968,1297094.542,45406.91725,0,1754654.017,1048260.316,1368511.257,6256831.446,0.666699371
39.01,101835.6298,94197.15774,0,0,2138908.154,891280.7171,1298655.23,4524876.889,0.956676658
169.02,492031.5789,1017174.535,3272.345433,0,2186903.554,1089788.01,1278381.285,6067551.308,0.750726713
169.01,523016.381,998853.1994,0,0,1791650.616,850977.7789,1356284.702,5520782.678,0.724338075
207,4298255.22,3669840.922,488.9022049,828383.2985,2539271.07,2276105.711,2696343.65,16308688.77,0.460596222
208,4451483.57,2567882.346,16712.65697,0,869894.9949,294537.0837,1289690.023,9490200.675,0.258595385
209,964665.038,1287774.406,0,308138.3631,1336689.622,768355.3059,1193744.215,5859366.951,0.562994121
210,1457872.382,2059770.984,28661.26689,425966.7939,2498275.27,1368101.339,1908971.148,9747619.184,0.592488037
211,1182008.563,1601859.58,0,0,1145671.831,697372.5046,1281891.583,5908804.062,0.528860982
212,1179844.996,1791636.619,0,0,1025034.962,529330.1181,1023358.298,5549204.993,0.464521203
213,1012395.491,1420232.911,0,0,1648780.194,687651.4491,1027753.418,5796813.463,0.580350754
214,1092816.404,1274651.032,0,492170.5511,1746177.712,964156.1398,1514801.994,7084773.833,0.596368486
215,2844560.003,3235851.733,18721.25519,326753.6395,1772635.42,1104706.026,1872871.37,11176099.44,0.425033156
216,7997236.313,6204014.011,0,1208523.259,2146428.65,1230486.866,3726391.61,22513080.71,0.315519107
241,951359.6995,739613.0552,0,0,1082245.518,405274.9329,1209427.078,4387920.284,0.614630019
242,1424199.117,1177182.528,630.8738063,0,1654809.988,707962.3863,760908.7954,5725693.689,0.545555061
243,2132764.383,1794977.951,5916.816459,0,1434598.037,795086.9588,1145342.897,7308687.043,0.461783064
